Values,,,,,,,,
,,,,,,,,
Low,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.0118,0.00148,0.0649,0.0683,0.0274,0.0325,0.0192,0.022
Glycine,0,0,0,0,0,0,0,0
Alanine,0,0,0,0,0,0,0,0
Proline,0,0,0,0,0,0,0,0
Valine,0,0,0,0,0,0,0,0
Threonine,0.00000207,0.000000261,0.0000112,0.0000113,0.00000484,0.00000551,0.00000338,0.0000037
Isoleucine,0,0,0,0,0,0,0,0
Aspartate,0,0,0,0,0,0,0,0
Lysine,0,0,0,0,0,0,0,0
Phenylalanine,0,0,0,0,0,0,0,0
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
High,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.116,0.006,0.139588009153407,0.146805969311208,0.0748952525877106,0.0888030581252077,0.0486648466199474,0.0552
Glycine,0.000899,0.0000454,0.00112,0.000893,0.00112,0.00101,0.000383,0.0000382
Alanine,0.0000308,0.00000156,0.0000384,0.0000388,0.00002,0.0000228,0.0000131,0.0000143
Proline,0.000222,0.0000112,0.000277,0.00036,0.000144,0.000211,0.0000946,0.000133
Valine,0.000788,0.0000398,0.000981,0.00125,0.000511,0.000736,0.000335,0.000463
Threonine,0.0000758,0.00000383,0.0000943,0.0000951,0.0000491,0.0000558,0.0000322,0.0000351
Isoleucine,0.0000237,0.0000012,0.0000296,0.0000406,0.0000154,0.0000238,0.0000101,0.000015
Aspartate,0.0000758,0.00000383,0.0000943,0.0000849,0.0000491,0.0000498,0.0000322,0.0000302
Lysine,0.00000657,0.000000332,0.00000818,0.0000101,0.00000426,0.0000059,0.00000279,0.00000358
Phenylalanine,0,0,0,0,0,0,0,0
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
Overfeeding,r_p,q_p,Yield p/Glucose,Yield p/Glucose,Yield p/MSG,Yield p/MSG,Yield p/s,Yield p/s
,g_p/L/h,g_p/g_x/h,g_p/g_Glc,C-mmol_p/mmol_Glc,g_p/g_MSG,C-mmol_p/C-mmol_MSG,g_p/g_s,C-mmol_p/C-mmol_s
Trehalose,0.183,0.00915,0.151,0.159,0.0905,0.107,0.056,0.0634
Glycine,0.009,0.000452,0.00762,0.00608,0.00762,0.00685,0.00276,0.000389
Alanine,0.00597,0.0003,0.00505,0.00511,0.0029,0.00331,0.00183,0.00199
Proline,0.000291,0.0000146,0.000247,0.000321,0.000142,0.000208,0.0000892,0.000125
Valine,0.0676,0.0034,0.0573,0.0732,0.0329,0.0474,0.0207,0.0285
Threonine,0.00061,0.0000306,0.000516,0.000521,0.000297,0.000337,0.000187,0.000203
Isoleucine,0.00134,0.0000672,0.00113,0.00156,0.000651,0.00101,0.00041,0.000606
Aspartate,0.000342,0.0000172,0.000289,0.00026,0.000166,0.000169,0.000105,0.0000983
Lysine,0.0000217,0.00000109,0.0000184,0.0000226,0.0000105,0.0000146,0.00000664,0.00000852
Phenylalanine,0.0000613,0.00000308,0.0000519,0.0000849,0.0000298,0.000055,0.0000188,0.0000331
Leucine,0,0,0,0,0,0,0,0
Methionine,0,0,0,0,0,0,0,0
Histidine,0,0,0,0,0,0,0,0
Arginine,0,0,0,0,0,0,0,0
Tyrosine,0,0,0,0,0,0,0,0
Cysteine,0,0,0,0,0,0,0,0
